// JOGOS
// Version 1.05
// File Date:2025/07/15 19:05:11
// (C) 2019-2023 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS
Type=INFINITY

[Head]
SondeName=AEM-USB
SondeNo=1919
SensorType=T0R0R1X0Y0B0
SensorType2=030101020202
Channel=6
Comment=Kelompok 13 dan 14
MeasMode=1

PreHeat=3000
Interval=1000
BurstCnt=10
BurstTime=1
WiperInterval=0
DelayTime=0
BuzzerEN=1
BuzzerInterval=1
BuzzerNumber=3
SampleCnt=6950

StartTime=2025/07/15 07:30:00
EndTime=2025/07/15 19:04:09

DepAdjRho=0.0000

ECA=0
ECB=0
ECDeg=0
ECCoef=0.000

CHLA=0
CHLB=0

AlphaData=0.1
BetaData=-3.11

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2021/11/11

Ch1=-1.359212e+01,+1.340604e-03,-1.266932e-08,+1.499809e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=-1.247062e+00,-1.303731e-05,+2.376205e-09,-2.434040e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch3=-1.135576e+00,-2.468658e-05,+2.747151e-09,-2.820625e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch4=-6.008107e+02,+1.832601e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=-6.050220e+02,+1.845396e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch6=0.000000000e00,1.152000000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Vel. [cm/sec],Dir. [°],Vel.-NS [cm/sec],Vel.-EW [cm/sec],Temp. [℃],Comp A,Comp B,Compass [°],Vel.-X [cm/sec],Vel.-Y [cm/sec],Batt. [V]
2025/07/15 07:36:09,104.568,355.045,104.178,-9.031,28.327,-0.3,0.9,341.070,24.71,99.29,2.98,
2025/07/15 07:37:00,57.977,25.324,52.406,24.799,28.271,-0.6,0.7,319.636,50.02,22.60,2.98,
2025/07/15 07:37:01,55.556,280.752,10.364,-54.581,28.270,-0.1,0.9,351.052,-50.28,18.00,2.98,
2025/07/15 07:37:02,57.737,320.707,44.683,-36.564,28.268,-0.2,0.9,342.700,-20.63,51.07,2.98,
2025/07/15 07:37:03,109.763,208.475,-96.485,-52.332,28.268,-0.4,0.9,332.581,-83.67,-56.66,2.97,
2025/07/15 07:37:04,89.739,42.796,65.849,60.968,28.268,-0.3,0.9,337.410,77.16,35.35,2.98,
2025/07/15 07:37:05,34.882,296.508,15.569,-31.215,28.268,0.2,0.9,7.983,-31.92,10.69,2.98,
2025/07/15 07:37:06,84.529,171.456,-83.591,12.559,28.267,0.7,0.7,44.382,61.73,-46.64,2.97,
2025/07/15 07:37:07,106.675,100.046,-18.609,105.039,28.268,0.8,0.5,54.286,69.48,67.66,2.98,
2025/07/15 07:37:08,76.058,53.906,44.807,61.459,28.266,0.9,0.3,67.486,-17.49,72.42,2.98,
2025/07/15 07:37:09,123.762,346.462,120.323,-28.972,28.264,0.9,0.4,64.105,-118.82,26.03,2.97,
2025/07/15 07:38:00,54.868,312.541,37.097,-40.426,28.178,0.8,0.6,52.463,-53.43,-9.35,2.98,
2025/07/15 07:38:01,82.767,0.620,82.762,0.896,28.179,0.8,0.6,52.395,-59.41,46.79,2.98,
2025/07/15 07:38:02,121.083,109.397,-40.213,114.210,28.178,0.8,0.6,52.326,93.82,60.76,2.98,
2025/07/15 07:38:03,121.972,249.740,-42.236,-114.426,28.171,0.8,0.6,52.290,-35.42,-112.67,2.97,
2025/07/15 07:38:04,73.033,257.999,-15.186,-71.437,28.162,0.8,0.6,52.264,-29.88,-62.00,2.97,
2025/07/15 07:38:05,36.007,61.628,17.110,31.681,28.158,0.8,0.6,52.264,5.80,35.16,2.98,
2025/07/15 07:38:06,25.013,50.664,15.855,19.346,28.153,0.8,0.6,52.242,-0.69,25.00,2.97,
